,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen
0,9.446913343602054,9.175334762777368,8.93075873555827,5.365976015021851,7.891330757661889,7.198931240688173
1,8.86177531100083,9.191157552559408,9.166179476190413,7.474204806496124,8.099554282376364,7.4821189235521155
2,8.756682421266532,9.083415678402515,8.946895523888447,7.785305182539862,8.165079258805068,8.967504187316237
3,9.49288426657184,7.086737934510577,8.347827345782498,8.764678074116606,6.2285110035911835,7.488852955733459
4,10.026368681911944,8.596004371840527,8.881558488638976,8.272570608424903,7.482681828154651,8.553525120663627
5,9.14984699154722,9.019058793810718,8.542080906924017,6.501289670540389,7.492760300922379,7.280008252884188
6,9.403107186631676,8.070593539949519,8.850087606689566,6.173786103901937,8.0519780789023,6.300785794663244
7,8.93313654381203,8.508354242749032,9.151227107483676,7.419979923661835,8.108021221376747,7.850103545175582
8,8.693328989123106,8.201934351194222,8.731013415269564,6.052089168924417,7.447751280047908,6.620073206530356
9,8.700514248543275,9.314069557738659,9.845911404398532,7.055312843339752,8.9126079636709,7.6487397889562425
10,8.121480374750751,8.594709633844065,9.470702633773001,8.389359819906353,8.695674048824253,7.463936604468925
11,9.483872808823522,7.024649030453636,8.416930769477844,7.258412150595307,6.3080984415095305,6.208590026096629
12,10.364513502749514,9.418898064961974,9.372204086867741,5.659482215759621,8.263848131368906,7.983098940710892
13,9.962558026113117,8.733594061863055,9.614604759507829,8.037543185118697,8.810907036099737,6.400257445308821
14,10.112653875919479,9.155356063643422,9.400216653174247,5.683579767338681,8.52872642722991,7.681560362559537
15,9.235325624670091,7.01571242048723,8.2482674474469,5.983936280687191,6.871091294610546,6.021023349349527
16,6.927557906278317,9.084323531392696,9.402694764470512,4.897839799950911,8.413608875159667,6.984716320118266
17,8.678631537293768,8.72534492491121,7.983781068977451,6.732210706467206,5.91350300563827,8.4069317971587
18,9.83097062169695,8.752581469146884,9.220191688026556,7.6984827878809465,7.925518979786926,8.064950891749143
19,8.959311617172437,7.822044008185619,9.155250405658222,6.505784060128229,7.831220214604293,6.2166061010848646
20,9.772581282688328,8.41604600941128,8.434246270595311,6.97166860472579,7.7226775164680035,7.66105638236183
21,8.624611588183507,6.769641976852503,7.605890001053122,8.12651816878071,5.926926025970411,6.343880434126331
22,10.350606309244405,7.558516743045645,8.404919948933452,9.149315670138408,7.7752758464868625,8.374246182096304
23,10.180096038519288,10.502955722212086,9.999660995984785,8.54752839121231,8.374938143835367,9.71250862865099
